ensgene,WT1,WT2,WT3,KO1,KO2,KO3
ENSMUSG00000041774,1175 ,922 ,824 ,529 ,371 ,432 
ENSMUSG00000031375,3873 ,2962 ,2547 ,6553 ,7610 ,6657 
ENSMUSG00000058550,6047 ,4618 ,4403 ,3609 ,2733 ,2940 
ENSMUSG00000024238,615 ,516 ,456 ,1195 ,985 ,980 
ENSMUSG00000004070,1524 ,1197 ,1122 ,786 ,603 ,618 
ENSMUSG00000023147,2001 ,1633 ,1449 ,1035 ,854 ,919 
ENSMUSG00000038965,9521 ,7643 ,7212 ,6050 ,5021 ,5026 
ENSMUSG00000041324,875 ,710 ,661 ,1590 ,1658 ,1491 
ENSMUSG00000023043,8893 ,6703 ,6379 ,1691 ,817 ,1280 
ENSMUSG00000064372,2208 ,1825 ,1631 ,1220 ,990 ,990 
ENSMUSG00000004460,3508 ,2741 ,2557 ,2041 ,1714 ,1678 
ENSMUSG00000110779,1138 ,808 ,865 ,1916 ,1607 ,1598 
ENSMUSG00000022757,4203 ,3249 ,3058 ,2460 ,2106 ,2084 
ENSMUSG00000021466,6261 ,4824 ,4571 ,2337 ,2653 ,2318 
ENSMUSG00000060429,7109 ,5484 ,5130 ,15337 ,9521 ,12163 
ENSMUSG00000000753,800 ,678 ,618 ,1435 ,1252 ,1268 
ENSMUSG00000004127,1164 ,913 ,822 ,2116 ,1558 ,1845 
ENSMUSG00000000594,2007 ,1518 ,1451 ,1073 ,828 ,816 
ENSMUSG00000021268,7093 ,5398 ,5450 ,12258 ,8762 ,9972 
ENSMUSG00000062075,3588 ,2710 ,2619 ,1668 ,1652 ,1422 
ENSMUSG00000106044,821 ,651 ,610 ,1480 ,1162 ,1328 
ENSMUSG00000042554,367 ,283 ,251 ,755 ,824 ,727 
ENSMUSG00000040511,2436 ,1884 ,1708 ,1279 ,892 ,992 
ENSMUSG00000024621,104 ,115 ,87 ,5 ,3 ,4 
ENSMUSG00000025408,204 ,173 ,154 ,636 ,417 ,551 
ENSMUSG00000039952,8948 ,6487 ,6424 ,5097 ,4439 ,4525 
ENSMUSG00000046000,474 ,343 ,353 ,153 ,114 ,123 
ENSMUSG00000040249,5488 ,4081 ,3863 ,8368 ,8923 ,8048 
ENSMUSG00000022895,1058 ,813 ,729 ,458 ,381 ,410 
ENSMUSG00000000184,921 ,696 ,679 ,1738 ,2021 ,1669 
ENSMUSG00000020363,4830 ,3584 ,3375 ,2793 ,2161 ,2327 
ENSMUSG00000034382,546 ,446 ,435 ,199 ,174 ,148 
ENSMUSG00000055322,528 ,403 ,398 ,965 ,927 ,978 
ENSMUSG00000005732,17893 ,14024 ,13125 ,11229 ,8569 ,9465 
ENSMUSG00000021190,1799 ,1472 ,1387 ,927 ,689 ,816 
ENSMUSG00000022702,5041 ,3746 ,3610 ,2796 ,2510 ,2345 
ENSMUSG00000032816,526 ,388 ,390 ,940 ,865 ,890 
ENSMUSG00000022385,5929 ,4626 ,4166 ,9674 ,7009 ,7718 
ENSMUSG00000108868,982 ,742 ,702 ,1551 ,1342 ,1401 
ENSMUSG00000040043,3866 ,3018 ,2841 ,2341 ,1846 ,1929 
ENSMUSG00000004951,3285 ,2478 ,2294 ,1721 ,1269 ,1512 
ENSMUSG00000029672,2703 ,2141 ,1988 ,1413 ,1254 ,1329 
ENSMUSG00000027955,660 ,542 ,500 ,1197 ,1234 ,1174 
ENSMUSG00000023039,1033 ,856 ,744 ,110 ,39 ,69 
ENSMUSG00000074934,2093 ,1613 ,1597 ,3492 ,3859 ,3411 
ENSMUSG00000105207,4655 ,3797 ,3754 ,7513 ,7468 ,6729 
ENSMUSG00000019960,1587 ,1273 ,1136 ,2416 ,2102 ,2056 
ENSMUSG00000031673,736 ,577 ,525 ,1251 ,1295 ,1267 
ENSMUSG00000070047,11454 ,8595 ,8096 ,14672 ,12925 ,13289 
ENSMUSG00000040681,21254 ,16100 ,15066 ,13805 ,10873 ,11089 
ENSMUSG00000040728,2271 ,1703 ,1624 ,1265 ,1047 ,1048 
ENSMUSG00000022814,7991 ,5959 ,5715 ,4984 ,3843 ,3949 
ENSMUSG00000027375,133 ,115 ,102 ,5 ,9 ,14 
ENSMUSG00000022964,799 ,598 ,607 ,220 ,275 ,213 
ENSMUSG00000026043,571 ,463 ,435 ,1097 ,1138 ,952 
ENSMUSG00000022685,3058 ,2389 ,2163 ,1761 ,1298 ,1436 
ENSMUSG00000039942,488 ,404 ,383 ,1050 ,757 ,855 
ENSMUSG00000039126,382 ,300 ,281 ,737 ,666 ,628 
ENSMUSG00000020423,1244 ,881 ,934 ,2202 ,2400 ,1927 
ENSMUSG00000047501,3736 ,2937 ,2600 ,2056 ,1390 ,1599 
ENSMUSG00000027763,476 ,350 ,351 ,1077 ,739 ,781 
ENSMUSG00000004891,1268 ,1023 ,1028 ,2779 ,1813 ,2289 
ENSMUSG00000067786,713 ,571 ,510 ,1317 ,1062 ,1002 
ENSMUSG00000112342,239 ,154 ,181 ,518 ,460 ,481 
ENSMUSG00000038539,310 ,264 ,232 ,699 ,536 ,570 
ENSMUSG00000046733,1406 ,1129 ,934 ,644 ,584 ,539 
ENSMUSG00000113032,842 ,603 ,581 ,1307 ,1232 ,1212 
ENSMUSG00000025227,2196 ,1665 ,1593 ,1237 ,962 ,1045 
ENSMUSG00000071856,1056 ,845 ,742 ,4519 ,6816 ,4922 
ENSMUSG00000028369,30 ,21 ,26 ,153 ,182 ,160 
ENSMUSG00000021250,1346 ,1065 ,951 ,2027 ,1747 ,1740 
ENSMUSG00000036446,76 ,68 ,61 ,266 ,243 ,233 
ENSMUSG00000022849,4882 ,3768 ,3456 ,2964 ,2531 ,2505 
ENSMUSG00000045983,49376 ,37311 ,34965 ,32768 ,27086 ,27856 
ENSMUSG00000029661,1714 ,1337 ,1254 ,2766 ,3096 ,2782 
ENSMUSG00000020601,363 ,282 ,275 ,834 ,583 ,647 
ENSMUSG00000036103,517 ,419 ,394 ,954 ,845 ,796 
ENSMUSG00000020272,1523 ,1234 ,1197 ,843 ,657 ,629 
ENSMUSG00000022883,2850 ,2091 ,2131 ,1513 ,1365 ,1226 
ENSMUSG00000055421,2372 ,1794 ,1812 ,3551 ,3515 ,3243 
ENSMUSG00000030491,3019 ,2312 ,2190 ,1509 ,882 ,1086 
ENSMUSG00000027750,467 ,332 ,329 ,825 ,822 ,747 
ENSMUSG00000022844,1087 ,868 ,781 ,550 ,404 ,438 
ENSMUSG00000024180,1412 ,1059 ,983 ,700 ,583 ,625 
ENSMUSG00000025742,958 ,837 ,697 ,1615 ,1405 ,1455 
ENSMUSG00000052684,1164 ,848 ,802 ,1755 ,1436 ,1507 
ENSMUSG00000014602,1160 ,860 ,830 ,2944 ,1643 ,2286 
ENSMUSG00000078566,2662 ,2051 ,1948 ,1003 ,1150 ,1022 
ENSMUSG00000002107,1133 ,875 ,852 ,1833 ,1474 ,1480 
ENSMUSG00000026479,2215 ,1724 ,1642 ,676 ,877 ,675 
ENSMUSG00000021318,692 ,533 ,526 ,1147 ,1011 ,1011 
ENSMUSG00000064080,4857 ,3834 ,3427 ,7784 ,9275 ,7844 
ENSMUSG00000022681,1742 ,1290 ,1219 ,910 ,634 ,725 
ENSMUSG00000002844,2839 ,2284 ,2177 ,1550 ,1422 ,1235 
ENSMUSG00000028392,822 ,609 ,637 ,352 ,264 ,322 
ENSMUSG00000037820,648 ,547 ,461 ,248 ,135 ,191 
ENSMUSG00000022752,12944 ,10487 ,9661 ,8189 ,5986 ,6758 
ENSMUSG00000045394,8150 ,6235 ,6013 ,5258 ,4084 ,4382 
ENSMUSG00000112972,1651 ,1300 ,1272 ,2552 ,2570 ,2386 
ENSMUSG00000022837,1186 ,878 ,853 ,588 ,474 ,507 
ENSMUSG00000038084,3781 ,2969 ,2772 ,2220 ,1940 ,2002 
ENSMUSG00000078497,4607 ,3654 ,3269 ,2566 ,2379 ,2287 
ENSMUSG00000022945,4077 ,3172 ,3042 ,2489 ,1816 ,2016 
